,numepolice,annee_reference,n_sinistre,montantsinistre
2,703479,2010,20122123,2269.03890903174
3,186906,2012,20122124,318.569303424849
7,665352,2013,20122125,191.068686465439
10,655353,2014,20122126,21898.2944757796
10.1,655353,2014,20122127,204.101133161768
11,47415,2015,20122128,211.650114450502
13,918121,2017,20122129,336.985945462625
13.1,918121,2017,20122130,1136.02587083421
16,670251,2015,20122131,38.024265432619
19,809064,2011,20122132,1508.26379956414
19.1,809064,2011,20122133,11458.0684448591
20,618554,2009,20122134,266.65525632709
21,793752,2017,20122135,17751.6718859012
21.1,793752,2017,20122136,5619.50305060173
28,257612,2015,20122137,675.457895343844
35,933180,2014,20122138,640.933668907863
36,824066,2014,20122139,28036.2389059124
36.1,824066,2014,20122140,72550.5601978634
36.2,824066,2014,20122141,26323.9079599307
39,154278,2011,20122142,953.404290050505
40,55308,2014,20122143,2879.11107939554
40.1,55308,2014,20122144,35943.5098116949
41,876746,2009,20122145,407.658333964589
46,692648,2011,20122146,395.169832457461
51,170396,2008,20122147,7995.62035915957
51.1,170396,2008,20122148,10848.2634556056
55,923998,2011,20122149,4600.12435765123
56,95647,2014,20122150,2884.70532748268
58,488619,2011,20122151,2693.24638277989
58.1,488619,2011,20122152,665.095960974628
59,864983,2009,20122153,190.431412953802
60,124974,2009,20122154,96.6783741311499
61,386045,2014,20122155,13820.6949411633
61.1,386045,2014,20122156,5570.34120039288
65,936990,2008,20122157,760.629139261135
67,441235,2015,20122158,232.24653662009
68,632430,2009,20122159,770.240189849347
68.1,632430,2009,20122160,7194.40281191781
70,654565,2014,20122161,5361.98978434174
70.1,654565,2014,20122162,484.757852665646
71,182382,2014,20122163,1555.45963559542
75,256169,2016,20122164,2655.73132744591
75.1,256169,2016,20122165,270.03214585577
76,597108,2012,20122166,5635.19078485086
76.1,597108,2012,20122167,45954.1720330499
76.2,597108,2012,20122168,2762.34005539801
77,844738,2017,20122169,110.570463111792
84,440341,2017,20122170,65.6255473852036
84.1,440341,2017,20122171,4496.92108579188
84.2,440341,2017,20122172,10352.6128748425
87,4960,2012,20122173,9987.7048508145
97,226758,2010,20122174,261.955363263132
99,218285,2012,20122175,82625.3777984933
