"";"x"
"1";3
"2";1
"3";2
"4";1
"5";4
"6";0
"7";4
"8";2
"9";4
"10";1
"11";3
"12";0
"13";5
"14";2
"15";1
"16";1
"17";0
"18";2
"19";2
"20";2
"21";0
"22";4
"23";2
"24";1
"25";2
"26";4
"27";0
"28";0
"29";5
"30";1
"31";6
"32";4
"33";2
"34";4
"35";0
"36";0
"37";0
"38";1
"39";3
"40";0
"41";0
"42";2
"43";0
"44";3
"45";2
"46";1
"47";3
"48";2
"49";4
"50";1
"51";3
"52";4
"53";4
"54";4
"55";3
"56";1
"57";1
"58";2
"59";4
"60";2
"61";1
"62";6
"63";1
"64";3
"65";0
"66";4
"67";1
"68";1
"69";3
"70";7
"71";0
"72";1
"73";5
"74";1
"75";2
"76";0
"77";4
"78";0
"79";1
"80";2
"81";5
"82";2
"83";4
"84";2
"85";2
"86";3
"87";4
"88";2
"89";1
"90";0
"91";3
"92";0
"93";0
"94";5
"95";4
"96";5
"97";5
"98";1
"99";0
"100";2
"101";2
"102";2
"103";1
"104";3
"105";4
"106";3
"107";3
"108";1
"109";1
"110";1
"111";0
"112";4
"113";0
"114";0
"115";2
"116";1
"117";1
"118";1
"119";1
"120";3
"121";7
"122";1
"123";0
"124";2
"125";3
"126";1
"127";1
"128";1
"129";3
"130";3
"131";4
"132";2
"133";3
"134";2
"135";1
"136";4
"137";2
"138";1
"139";2
"140";2
"141";1
"142";3
"143";4
"144";1
"145";3
"146";2
"147";0
"148";1
"149";0
"150";2
"151";1
"152";2
"153";3
"154";1
"155";1
"156";2
"157";0
"158";1
"159";2
"160";5
"161";2
"162";2
"163";1
"164";3
"165";1
"166";0
"167";2
"168";0
"169";1
"170";1
"171";0
"172";3
"173";5
"174";2
"175";1
"176";1
"177";3
"178";3
"179";1
"180";1
"181";1
"182";3
"183";0
"184";3
"185";0
"186";1
"187";1
"188";1
"189";2
"190";2
"191";0
"192";0
"193";1
"194";3
"195";2
"196";3
"197";1
"198";3
"199";1
"200";2
"201";1
"202";4
"203";2
"204";0
"205";0
"206";5
"207";3
"208";2
"209";0
"210";2
"211";2
"212";1
"213";1
"214";2
"215";3
"216";0
"217";2
"218";0
"219";1
"220";1
"221";2
"222";2
"223";3
"224";2
"225";2
"226";2
"227";0
"228";2
"229";3
"230";1
"231";5
"232";1
"233";4
"234";5
"235";3
"236";0
"237";1
"238";4
"239";1
"240";4
"241";1
"242";1
"243";2
"244";4
"245";0
"246";1
"247";0
"248";1
"249";3
"250";0
"251";4
"252";3
"253";2
"254";2
"255";2
"256";2
"257";2
"258";4
"259";0
"260";1
"261";0
"262";1
"263";2
"264";5
"265";4
"266";2
"267";5
"268";3
"269";1
"270";2
"271";2
"272";0
"273";2
"274";1
"275";5
"276";0
"277";1
"278";0
"279";1
"280";2
"281";2
"282";0
"283";2
"284";3
"285";3
"286";2
"287";1
"288";4
"289";0
"290";1
"291";1
"292";2
"293";2
"294";1
"295";0
"296";1
"297";1
"298";3
"299";1
"300";1
"301";0
"302";3
"303";3
"304";3
"305";2
"306";1
"307";2
"308";2
"309";1
"310";2
"311";0
"312";3
"313";6
"314";3
"315";1
"316";0
"317";2
"318";4
"319";1
"320";4
"321";2
"322";2
"323";1
"324";5
"325";5
"326";5
"327";4
"328";1
"329";0
"330";1
"331";0
"332";0
"333";4
"334";2
"335";2
"336";1
"337";2
"338";1
"339";6
"340";4
"341";0
"342";1
"343";3
"344";0
"345";5
"346";5
"347";3
"348";3
"349";0
"350";2
"351";3
"352";2
"353";1
"354";0
"355";1
"356";2
"357";4
"358";2
"359";1
"360";1
"361";3
"362";2
"363";4
"364";4
"365";3
"366";0
"367";1
"368";0
"369";3
"370";1
